Exomiser_version,PhenotypeScore,Rank,CombinedScore
exomiser_11,0.50000286,Low,0.7489396
exomiser_11,0.50003374,Diagnosed,0.74899995
exomiser_11,0.5810888,Medium,0.87388235
exomiser_11,0.5003516,High,0.73043776
exomiser_11,0.5000728,Medium,0.7490762
exomiser_11,0.50011456,Medium,0.7448354
exomiser_11,0.50011456,Medium,0.7448354
exomiser_11,0.5002521,Medium,0.73893744
exomiser_11,0.5001212,Medium,0.5491154
exomiser_11,0.5001212,Medium,0.5491154
exomiser_11,0.50060785,Medium,0.74818534
exomiser_11,0.50060785,Medium,0.74818534
exomiser_11,0.50002754,Medium,0.72279114
exomiser_11,0.50002754,Medium,0.72279114
exomiser_11,0.50000054,NA,0.74893504
exomiser_11,0.6112383,High,0.8875685
exomiser_11,0.6197523,Low,0.8999278
exomiser_11,0.6197523,Low,0.8999278
exomiser_11,0.6112383,High,0.8875685
exomiser_11,0.5000429,Medium,0.6830826
exomiser_11,0.0,Low,0.014613664
exomiser_11,0.0,Low,0.014613664
exomiser_11,0.0,NA,0.016233366
exomiser_11,0.5000291,Medium,0.7489322
exomiser_11,0.5000179,Medium,0.71161073
exomiser_11,0.5000179,Medium,0.71161073
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.0,Medium,0.016003402
exomiser_11,0.50000113,High,0.74715936
exomiser_11,0.3763595,Medium,0.10557472
exomiser_11,0.3763595,Medium,0.10557472
exomiser_11,0.5000164,Medium,0.67282134
exomiser_11,0.5000164,Medium,0.67282134
exomiser_11,0.0,Low,0.016233366
exomiser_11,0.0,Medium,0.0041442057
exomiser_11,0.4969882,Medium,0.20526396
exomiser_11,0.0,Medium,0.014888683
exomiser_11,0.0,Medium,0.014888683
exomiser_11,0.51818776,Medium,0.6886963
exomiser_11,0.5213994,High,0.77593863
exomiser_11,0.50005466,Diagnosed,0.7490408
exomiser_11,0.50005466,Diagnosed,0.7490408
exomiser_11,0.500013,Medium,0.7489594
exomiser_11,0.0,Medium,4.0448987E-4
exomiser_11,0.0,NA,4.0448987E-4
