cell,X2,Y2,DataType,dbsumneg,SitePrimary,Histology,HistSubtype1,SitePrimaryCount,DataGood
697,cmpd X,cmpd A,viability,-0.71597,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd B,viability,-0.26123,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd C,viability,-0.64575,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd D,viability,-0.17526,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd E,viability,-1.46403,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd F,viability,-1.71161,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd A,viability,-2.24202,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd B,viability,-2.07902,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd C,viability,-1.02953,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd D,viability,-0.55978,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd E,viability,-1.24673,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd F,viability,-0.89341,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd A,growth,-1.04081,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd B,growth,-0.45239,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
