X1,mgi_symbol,transcript_biotype,P2_Roska,P4_Roska,P6_Roska,P10_Roska,P2_KO,P4_KO,P6_KO,P10_KO
ENSMUSG00000000088,Cox5a,protein_coding,6.569507583916888,6.24846053216489,7.208483146689387,7.421386615844446,4.535115810489027,5.722419127693331,5.121150356004927,5.288746163300464
ENSMUSG00000000120,Ngfr,protein_coding,3.111043626867684,3.4165248205758694,1.948900197807154,5.247628982278502,4.761995763727126,4.650646812381492,3.1010250682470684,2.7495413521476593
ENSMUSG00000000126,Wnt9a,protein_coding,3.9022550044047377,3.2719832580322876,4.8178299160676294,4.893547815577753,0.45045749053476325,0.8686768985663814,1.4217752237719732,3.587833486272677
ENSMUSG00000000127,Fer,protein_coding,5.403611521507816,5.293327994556618,5.493511468447944,5.169121246661016,3.0926089622337942,4.400933338890964,4.364508534196526,4.150695165535726
ENSMUSG00000000197,Nalcn,protein_coding,3.0830645318343928,3.710406160671204,2.555076094000203,2.4239810199071834,0.2427387716736093,2.3145457281587145,2.2224053135007655,2.109073194315455
ENSMUSG00000000266,Mid2,protein_coding,4.599541483586698,4.582700343169526,4.370343633149824,4.9486391860784025,1.8849344214479227,2.9600718601747094,2.6418614417953683,2.833038448731342
ENSMUSG00000000275,Trim25,protein_coding,5.643071442536684,5.685894956283157,5.963794671252072,5.623569999354793,3.558412657675228,4.5422257049788355,4.472745639156743,4.5307251558195984
ENSMUSG00000000308,Ckmt1,protein_coding,7.312335940392084,6.359024462430063,7.940955445853405,8.405951505006588,4.560645275909815,5.1317416728693415,6.352108589608245,7.721474507273828
ENSMUSG00000000355,Mcts1,protein_coding,6.327930086204876,6.080222700292112,6.292599833243995,6.523591541820607,3.951728987396835,5.588949014609848,4.533483832744295,4.5936549865615985
ENSMUSG00000000560,Gabra2,protein_coding,4.066670183841206,4.927915392783035,3.0176088929370146,2.532458245500742,1.4592126308536348,1.6271578146144863,0.9792635877732359,1.1200988910402774
ENSMUSG00000000600,Krit1,protein_coding,7.096243399656369,7.160919022587288,7.166654724565137,7.369629311348957,5.231132351707054,6.0273085047357995,4.990058920361872,5.098284162702908
ENSMUSG00000000628,Hk2,protein_coding,4.855006387123301,4.01467067589083,6.014286551570002,7.596152145447549,4.09084158820089,3.8266139796080325,4.0092797506868525,6.44579258618329
ENSMUSG00000000724,Cryba1,protein_coding,2.024149825080035,1.9842773280402308,2.189098874349454,1.833289082430442,0,1.0767276915566515,1.6472990068149747,1.8550360752693178
